Prospect ID,Nama bisnis,Segmen,Kontak publik,Channel,URL profil,Masalah dokumentasi yang diduga,Tanggal pesan pertama,Status,Respons/insight,Follow-up berikutnya,Tanggal follow-up,Use case pilot,Nilai pilot,Outcome,Catatan
1,coworker.id,IT development,https://www.coworker.id,Website contact,https://www.coworker.id,Tim software dengan banyak proyek dan knowledge lintas anggota,,Belum dihubungi,,,,Pencarian SOP proyek dan onboarding,,,
2,BaoDev Studio,Small dev studio,https://baodev.studio,Website contact,https://baodev.studio,Delivery cepat membutuhkan dokumentasi standar dan knowledge reuse,,Belum dihubungi,,,,Knowledge base delivery dan checklist QA,,,
3,Unilo Studio,Product studio,https://unilostudio.com,Website contact,https://unilostudio.com,Tim kecil menangani proses ide hingga launch untuk banyak klien,,Belum dihubungi,,,,Onboarding klien dan dokumentasi delivery,,,
4,Lumen Teknoindo,IT consulting,https://lumenteknoindo.co.id,Website contact,https://lumenteknoindo.co.id,IT governance dan implementasi sistem memerlukan akses SOP yang konsisten,,Belum dihubungi,,,,Asisten SOP IT governance,,,
5,Geek Garden,Software solutions,https://geekgarden.id,Website contact,https://geekgarden.id,Tim software perlu mempercepat pencarian dokumentasi teknis dan proyek,,Belum dihubungi,,,,Knowledge base internal teknis,,,
6,Arkamaya,Software company,https://www.arkamaya.co.id,Website contact,https://www.arkamaya.co.id,Proyek software lintas klien membuat knowledge tersebar,,Belum dihubungi,,,,Pencarian dokumentasi proyek,,,
7,Kulkul Technology,Remote software team,https://kulkul.tech,Website contact,https://kulkul.tech,Tim remote membutuhkan jawaban mandiri tanpa menunggu anggota lain,,Belum dihubungi,,,,Remote onboarding dan SOP delivery,,,
8,Koneksi Group,Technology group,https://koneksi.group,Website contact,https://koneksi.group,Beberapa unit bisnis dapat memiliki knowledge dan prosedur yang tersebar,,Belum dihubungi,,,,Knowledge hub lintas unit,,,
9,Majapahit Teknologi,AI and software,https://majapahit.id,Website contact,https://majapahit.id,Solusi AI dan software membutuhkan dokumentasi pengetahuan yang mudah dicari,,Belum dihubungi,,,,Asisten dokumentasi proyek AI,,,
10,Byteik,Web and mobile studio,https://byteik.com/en,Website contact,https://byteik.com/en,Tim kecil perlu mengurangi pertanyaan berulang selama delivery,,Belum dihubungi,,,,FAQ internal dan onboarding,,,
11,PT Keijora Inovasi Karunia,Business automation,https://www.keijora.com,Website contact,https://www.keijora.com,Implementasi workflow dan sistem bisnis memerlukan SOP per klien,,Belum dihubungi,,,,Asisten knowledge workflow,,,
12,Coniolabs,Software development,https://coniolabs.com,Website contact,https://coniolabs.com,Tim produk memerlukan dokumentasi reusable dan knowledge transfer,,Belum dihubungi,,,,Knowledge base engineering,,,
13,Cloudxier,Digital transformation,https://www.cloudxier.com,Website contact,https://www.cloudxier.com,Consulting dan delivery end-to-end menghasilkan banyak artefak pengetahuan,,Belum dihubungi,,,,Pencarian SOP konsultasi,,,
14,BTS.id,Software house,https://www.bts.id,Website contact,https://www.bts.id,Tim proyek besar membutuhkan akses cepat ke prosedur dan dokumentasi,,Belum dihubungi,,,,Asisten SOP project delivery,,,
15,Lenka Studio,Digital agency,https://lenkastudio.com,Website contact,https://lenkastudio.com,Tim design-code-growth membutuhkan knowledge lintas fungsi,,Belum dihubungi,,,,Onboarding dan playbook delivery,,,
16,Zeppelin Works,Digital agency and software studio,https://zeppelin.works,Website contact,https://zeppelin.works,Proyek web mobile ERP dan AI membutuhkan knowledge repository terstruktur,,Belum dihubungi,,,,Asisten dokumentasi proyek,,,
17,Luniasola,Digital agency,https://luniasola.com,Website contact,https://luniasola.com,Tim digital product perlu menyatukan proses dan lessons learned lintas proyek,,Belum dihubungi,,,,Knowledge base project delivery,,,
18,Emveep,AI startup development,https://www.emveep.com,Website contact,https://www.emveep.com,Delivery AI untuk banyak klien menghasilkan dokumentasi teknis yang perlu dicari cepat,,Belum dihubungi,,,,Asisten internal engineering,,,
19,Boci Studio,Web SaaS mobile studio,http://bocistudio.com,Website contact,http://bocistudio.com,Tim kecil mengelola website SaaS dan aplikasi dengan knowledge yang tersebar,,Belum dihubungi,,,,FAQ dan SOP internal,,,
20,Acehweb,Web design and maintenance,https://acehweb.com,Website contact,https://acehweb.com,Maintenance banyak klien membutuhkan runbook dan jawaban operasional yang konsisten,,Belum dihubungi,,,,Asisten maintenance dan support,,,
